data,lançamento,coluna_sem_nome_3,valor,data_2,valor_ext,nome_arquivo,data_base
25/03/2024,Seg Cartao Protegido,,14.9,credito_2024_04.xls,01/04/2024
28/03/2024,Amazon Prime Canais,,19.9,credito_2024_04.xls,01/04/2024
01/04/2024,Dlocal*google Cloud 9tg,,108.92,credito_2024_04.xls,01/04/2024
02/04/2024,Amazon Aws Servicos Bra,,40.55,credito_2024_04.xls,01/04/2024
05/04/2024,Amazonprimebr,,14.9,credito_2024_04.xls,01/04/2024
12/03/2024,Scribd *589796495,,29.72,credito_2024_04.xls,01/04/2024
24/04/2024,Dm          *spotify,,21.9,credito_2024_05.xls,01/05/2024
16/02/2024,Centro Formador Cr03/06,,191.7,credito_2024_05.xls,01/05/2024
21/02/2024,Iugu*catho        03/03,,79.9,credito_2024_05.xls,01/05/2024
09/03/2024,Localiza,,-0.25,credito_2024_05.xls,01/05/2024
09/03/2024,Localiza          02/06,,42.8,credito_2024_05.xls,01/05/2024
13/03/2024,Aluguel Localiza,,-0.1,credito_2024_05.xls,01/05/2024
13/03/2024,Unidas Locadora Sa,,-0.48,credito_2024_05.xls,01/05/2024
13/03/2024,Aluguel Localiza  02/06,,200.74,credito_2024_05.xls,01/05/2024
13/03/2024,Unidas Locadora Sa02/09,,102.34,credito_2024_05.xls,01/05/2024
18/03/2024,Unidas Locadora Qt02/03,,63.39,credito_2024_05.xls,01/05/2024
18/03/2024,Unidas Locadora Qti1,,-0.04,credito_2024_05.xls,01/05/2024
10/04/2024,Dl*google Google,,38.99,credito_2024_05.xls,01/05/2024
12/04/2024,Amazon Prime Canais,,16.9,credito_2024_05.xls,01/05/2024
14/04/2024,Iof Compra Internaciona,,1.3,credito_2024_05.xls,01/05/2024
16/04/2024,Netflix.com,,68.8,credito_2024_05.xls,01/05/2024
19/04/2024,Produtos Globo,,54.9,credito_2024_05.xls,01/05/2024
23/04/2024,Turbi,,163.92,credito_2024_05.xls,01/05/2024
23/04/2024,Turbi,,-60.0,credito_2024_05.xls,01/05/2024
24/04/2024,Seg Cartao Protegido,,14.9,credito_2024_05.xls,01/05/2024
24/04/2024,Disney Plus,,33.9,credito_2024_05.xls,01/05/2024
24/04/2024,Amazon Prime Canais,,34.9,credito_2024_05.xls,01/05/2024
28/04/2024,Amazon Prime Canais,,19.9,credito_2024_05.xls,01/05/2024
01/05/2024,Dlocal*google Cloud 7cx,,108.04,credito_2024_05.xls,01/05/2024
01/05/2024,Localiza - Multas Tran,,136.67,credito_2024_05.xls,01/05/2024
02/05/2024,Aws Brazil,,9.27,credito_2024_05.xls,01/05/2024
05/05/2024,Amazonprimebr,,19.9,credito_2024_05.xls,01/05/2024
12/04/2024,Scribd *589796495,,30.03,credito_2024_05.xls,01/05/2024
24/05/2024,Dm*spotify,,21.9,credito_2024_06.xls,01/06/2024
16/02/2024,Centro Formador Cr04/06,,191.7,credito_2024_06.xls,01/06/2024
09/03/2024,Localiza          03/06,,42.8,credito_2024_06.xls,01/06/2024
13/03/2024,Aluguel Localiza  03/06,,200.74,credito_2024_06.xls,01/06/2024
13/03/2024,Unidas Locadora Sa03/09,,102.34,credito_2024_06.xls,01/06/2024
18/03/2024,Unidas Locadora Qt03/03,,63.39,credito_2024_06.xls,01/06/2024
