dt_credito,descricao,valor_credito,data_base
2025-12-27,TurbiSao PauloBR,111.01,2026-02-01
2025-12-24,RW NEGOCIOS COMERCIAISGUARULHOSBR,133.0,2026-02-01
2025-12-24,LOJAS AMERICANAS 256GUARULHOSBR,83.38,2026-02-01
2025-12-24,HNA*OBOTICARIOGUARULHOSBR,58.36,2026-02-01
2025-12-24,CENTAURO CE187GUARULHOSBR,59.99,2026-02-01
2025-12-22,TurbiSao PauloBR,187.02,2026-02-01
2025-12-18,DROGARIA SAO PAULO 194SAO PAULOBR,121.16,2026-02-01
2025-12-17,DROGASIL3462SAO PAULOBR,73.74,2026-02-01
2025-12-06,MP*BMUTILIDADESSO PAULOBR,185.0,2026-02-01
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71,2026-02-01
2025-11-13,LocalizaBelo HorizontBR,171.51,2026-02-01
2025-11-08,LocalizaBelo HorizontBR,137.81,2026-02-01
2025-10-27,GMP COMERCIO DE ROUPASGUARULHOSBR,101.65,2026-02-01
2025-10-15,UNIDAS LOCADORA SPSTSAO PAULOBR,170.33,2026-02-01
2025-10-14,RI HAPPY BRINQUEDOS SASAO PAULOBR,54.99,2026-02-01
2025-09-04,HOTMART AIPROEXPBELO HORIZONTBR,154.91,2026-02-01
2026-03-08,"GITHUB, INC.GITHUB.COMUS",56.2,2026-03-01
2026-03-08,"IOF INTERNACIONAL - GITHUB, INC.GITHUB.COMUS",1.97,2026-03-01
2026-03-08,Serasa ExperianSao PauloBR,23.9,2026-03-01
2026-03-06,Google OneSAO PAULOBR,96.99,2026-03-01
2026-03-06,Google YouTube MemberSAO PAULOBR,2.99,2026-03-01
2026-03-05,THE WALT DISNEY COMPANY (SAO PAULOBR,44.5,2026-03-01
2026-03-02,AWS BrazilSao PauloBR,175.35,2026-03-01
2026-03-02,REAL BRASIL ESPORTESSAO PAULOBR,56.0,2026-03-01
2026-03-02,NETFLIX ENTRETENIMENTOBARUERIBR,20.9,2026-03-01
2026-03-02,AWS BrazilSao PauloBR,132.67,2026-03-01
2026-03-01,Google CLOUD 8QLVvSSAO PAULOBR,39.8,2026-03-01
2026-02-28,GLOBO*GloboplayRIO DE JANEIRBR,22.9,2026-03-01
2026-02-28,ELECTROLUX electrolux-679CuritibaBR,59.42,2026-03-01
2026-02-27,SEG CARTAO PROTEGIDO,16.39,2026-03-01
2026-02-26,PG *QUERO EDUCACAO SERSAO JOSE DOSBR,539.38,2026-03-01
2026-02-24,EBN*SPOTIFYCURITIBABR,23.9,2026-03-01
2026-02-24,ATACADAO 060 ASSAO PAULOBR,152.89,2026-03-01
