data,lançamento,valor
2026-02-11,REDE CONFIANCASAO PAULOBRA,50
2026-02-11,Propig *MELO 2 COMERCIsao PauloBRA,178
2026-02-11,NSA I POSTO DE ABASTECSAO PAULOBRA,89.26
2026-01-25,REDE CONFIAN-CT        SAO PAULO     BRA,50
2026-01-22,REDE CONFIAN-CT        SAO PAULO     BRA,100
2026-01-20,REDE CONFIAN-CT        SAO PAULO     BRA,100
2026-01-20,PAGAMENTO EFETUADO,-500
2026-01-13,PUNTO  *AUTO POSTO CE  SAO PAULO     BRA,221.53
2026-01-09,LOCALIZA RENT A CA02/10SAO PAULO     BRA,500
