data,lançamento,valor
2026-02-16,ABASTEC*abastece aiSao PauloBRA,100
2026-02-15,ABASTEC*abastece aiSao PauloBRA,100
2026-02-13,ABASTEC*abastece aiSao PauloBRA,100
2026-02-11,Propig *MELO 2 COMERCIsao PauloBRA,178
2026-01-09,LOCALIZA RENT A CAR -V SAO PAULO     BRA,500
