"de_para";"valor"
"T.mikami    -ct    (03/04)";"T"
"Pag*leroymerlin (03/03)";"leroymerlin"
"T.mikami    -ct   02/04";"T"
"Pag*allandiasdos";"allandiasdos"
"Pag*flordegoias";"flordegoias"
"Crema Coffee";"Crema"
"Pag*lillidee-ct Rose";"lillidee"
"Pag*gardensb-ct T";"gardensb"
"Magia Comerc-ct Mbalage";"Magia"
"Atacadao 060-ct";"Atacadao"
"Esplanada M Veis";"Esplanada"
"Siberiano         01/02";"Siberiano"
"Ebw*spotify";"Ebw"
"C C Manoel Gaya   03/03";"C"
"Fazarte Confeccoes02/02";"Fazarte"
"Rodolfo Gaspar Pinto";"Rodolfo"
"Arbys\"";"Arbys"
"Chita Verduras";"Chita"
"Spay*a P Tucuruvi";"Spay"
"Adriano Chinem";"Adriano"
"Feirante    -ct";"Feirante"
"Pag*rayzzama-ct La";"rayzzama"
"Halak Modas Ltda";"Halak"
"Ma Rongduan -ct Terias";"Ma"
"Yingxue Ma Bijuterias";"Yingxue"
"Tokio Marine*auto01d12";"Tokio"
"M A Koch Lav-ct Pido";"M"
"Siberiano (02/02)";"Siberiano"
"Scam Digital";"Scam"
"Ame Digital       01/12";"Ame"
"Riachuelo 100     01/03";"Riachuelo"
"Sugar Cubes Comercio D";"Sugar"
"Carrefour Ecn";"Carrefour"
"Drogasil 1317";"Drogasil"
"M G M E Magalhaes Ltda";"M"
"Ri Happy Brinquedos Sa";"Ri"
"Identita Odontologia";"Identita"
"Ame Digital       01/10";"Ame"
"Pag*algodaodoce";"algodaodoce"
"Clube De Cam-ct Ssoci";"Clube"
"Embalagens Raya   01/03";"Embalagens"
"Arizona Paes-ct";"Arizona"
"Lojas Americanas 0836";"Lojas"
"Acom Mkt Place    01/02";"Acom"
"Americanas Com";"Americanas"
"Antonio Sergio Lib01/02";"Antonio"
"Parc=103kalunga.co01/03";"Parc"
"Ebanx Spotify";"Ebanx"
"Rufplast";"Rufplast"
"Caps Edgar Faco";"Caps"
"Fernanda Goncalves Sil";"Fernanda"
"Armarinhos Fernand03/03";"Armarinhos"
"Acom Mkt Place    03/03";"Acom"
"Lojas Renner Fl 4902/03";"Lojas"
"Lojao Do Bras     02/04";"Lojao"
"Lojao Do Bras";"Lojao"
"Submarino Mktplace02/02";"Submarino"
"Acom Mkt Place    02/03";"Acom"
"Submarino Mktplace02/03";"Submarino"
"Parc=102americanas02/02";"Parc"
"Parc=102submarino.02/02";"Parc"
"Acom Mkt Place    02/02";"Acom"
"Antonio Sergio Lib02/02";"Antonio"
"Parc=103kalunga.co02/03";"Parc"
"Parc=103kalunga.com";"Parc"
"Parc=102americanas01/02";"Parc"
"Rossio";"Rossio"
"Camila E Carina Presen";"Camila"
"Kaius Calcados Ltda\"";"Kaius"
"Lojao Da Vila";"Lojao"
