"de_para";"valor"
"Lojas Americ-ct  5324";"americanas"
"Matriz";"comercio"
"Ze Das Plantas";"comercio"
"Roselene Sidneia Alan";"pessoa"
"Real Brasil -ct Rtes";"escola_futebol"
"Chute Inicial Cori01/02";"escola_futebol"
"Rs Avila    -ct";"mercado"
"Zagaia Eco-r*zaga 01/06";"hotel"
"Max Fama Modeling 08/12";"moda"
"Ame*americanascom 04/04";"americanas"
"Khelf-shop.t-ct Pe03/03";"roupa"
"Parcelamen Fatura 03/05";"parcelamentoi"
"Centauro Ce 35    03/03";"roupa"
"Fernandinhos Kids 02/02";"comercio"
"Rei Do Oleo       02/02";"troca_oleo"
"Chute Inicial Cori02/02";"escola_futebol"
"Zagaia Eco-r*zaga 02/06";"hotel"
"Zagaia Eco-r*zaga";"hotel"
"Bagaggio She-ct Ag01/10";"mala_viagem"
"Artemis Comercio D01/03";"comercio"
"Hurley Guarulhos  01/03";"roupa"
"M Jarouche Comerci01/03";"comercio"
"Scribd Inc";"Scribd"
"Pernambucanas     01/02";"roupa"
"Uber   *uber   *trip";"uber"
"Mp *klmcentr-ct O 01/04";"comercio"
"Extrafarma Shoppin01/02";"farmacia"
"Aluguel           01/06";"locadora-localiza"
"Auto Posto T-ct Ca";"viagem_gasolina"
"Trucao Centro De Abast";"viagem_gasolina"
"Adm Abastece N Alvorad";"viagem_gasolina"
"Posto Tatinh-ct I";"viagem_gasolina"
"Valmir Silve-ct Varga";"pessoa"
"Mercado Aria-ct";"viagem_mercado"
"Boteco Juanita";"viagem"
"Crisval Agencia De01/04";"viagem"
"Palacio Dos Sorvetes";"sorvete"
"Boca Da Onca-ct Tour";"viagem"
"Posto Da Pon-ct";"viagem_gasolina"
"Auto Posto Entre Rios";"viagem_gasolina"
"Auto Posto Limoeiro";"viagem_gasolina"
"Hotel E Pous-ct Potosi";"viagem_hotel"
"Zagaia Eco-resort";"hotel"
"Ype Supermercado";"viagem_mercado"
"Rest Lanchon-ct Entre";"viagem"
"Posto De Servicos Auto";"viagem_gasolina"
"Localiza Rac Acbhz01/03";"locadora-localiza"
"Supermercado Supremo";"viagem_mercado"
"Disney Plus";"Disney"
"Localiza - Multas Tran";"locadora-localiza"
"Chute Inicial Cori01/04";"escola_futebol"
"Max Fama Modeling 09/12";"moda"
"Parcelamen Fatura 04/05";"parcelamentoi"
"Zagaia Eco-r*zaga 03/06";"hotel"
"Artemis Comercio D02/03";"comercio"
"Hurley Guarulhos  02/03";"roupa"
"Hurley Guarulhos";"roupa"
"Bagaggio She-ct Ag02/10";"mala_viagem"
"M Jarouche Comerci02/03";"comercio"
"Bagaggio She-ct Aggio";"mala_viagem"
"Pernambucanas     02/02";"roupa"
"Mp *klmcentr-ct O 02/04";"comercio"
"Extrafarma Shopping Me";"farmacia"
"Extrafarma Shoppin02/02";"farmacia"
"Aluguel           02/06";"locadora-localiza"
"Crisval Agencia De02/04";"passeio_viagem"
"Localiza Rac Acbhz02/03";"locadora-localiza"
"Chute Inicial Cori02/04";"escola_futebol"
"Max Fama Modeling 10/12";"moda"
"Mbs Modas Ltda    03/04";"roupa"
"Cea Scn 160 Ecpc  03/03";"roupa"
"Outlet Vila Maria 02/06";"roupa"
"Rdi Kids Modinha  02/03";"roupa"
"Sonda Supermercado02/02";"mercado"
"Rdi Kids Modinha";"roupa"
"Decathlon Lar Cent02/03";"roupa"
"Max Fama Modeling 02/12";"moda"
"Dorinhos - Loja 33 - V";"roupa"
"Rosa Store Ltda   02/02";"roupa"
"Dorinhos - Loja 3302/03";"roupa"
"Drogaria Sao Paulo02/03";"farmacia"
"Biscoite Vl -ct Pia";"comercio"
"Av Guapira";"lazer"
"Abastec*aai*ipiranga";"gasolina"
"Loja Vic    -ct   01/02";"comercio"
"Tatuape Sushi";"alimentacao"
"Ponto Da Esfiha";"alimentacao"
"Amazon.com.br Digital C";"app-amazon"
"Ame*americanascom 01/03";"americanas"
"Mercadopago*bancanovomu";"comercio"
"Tokio Marine*auto10d12";"carro"
"Gaguinho";"comercio"
"Pag*pasteldateru";"alimentacao"
"Brands            01/04";"comercio"
"Pag*niwsonyoshihide";"comercio"
"Arena Novo Mundo";"lazer"
"Posto Florid-ct";"gasolina"
"Lj 3009 Centernorte Sp";"comercio"
"Charles Dogs-ct";"alimentacao"
"Pag*saboresdomilho";"alimentacao"
"Pag*franciscoestrelad";"comercio"
"Hna*oboticario    01/04";"boticario"
"Santana";"comercio"
"Vent Vert Cn      01/06";"Vent Vert"
"Torra Torra -ct   01/02";"roupa"
"Roberto Vidal Card01/03";"pessoa"
"Starbucks";"alimentacao"
"Mercadopago*-ct Coceara";"comercio"
"Massas Italianas";"alimentacao"
"Pernil & Cia";"alimentacao"
"J A Rodrigues Bici01/02";"comercio"
"Rotiserie La Rome 01/02";"alimentacao"
"Paes E Doces Charmosa";"padaria"
"King Star Colchoes08/10";"colchï¿½o"
"Parcelamen Fatura  (05/05)";"parcelamentoi"
"Zagaia Eco-r*zaga  (04/06)";"hotel"
"Hurley Guarulhos   (03/03)";"roupa"
"Bagaggio She-ct Agg(03/10)";"mala_viagem"
"Crisval Agencia De (03/04)";"passeio_viagem"
"Localiza Rac Acbhz0(03/03)";"locadora-localiza"
"Chute Inicial Corin(03/04)";"escola_futebol"
"Max Fama Modeling  (11/12)";"moda"
"Mbs Modas Ltda    04/04";"roupa"
"Outlet Vila Maria 03/06";"roupa"
"Rdi Kids Modinha  03/03";"roupa"
"Decathlon Lar Cent03/03";"roupa"
"Max Fama Modeling 03/12";"desfile"
"Dorinhos - Loja 3303/03";"roupa"
"Drogaria Sao Paulo03/03";"farmacia"
"Loja Vic    -ct   02/02";"comercio"
"Ame*americanascom 02/03";"americanas"
"Brands            02/04";"comercio"
"Hna*oboticario    02/04";"boticario"
"Roberto Vidal Cardoso";"pessoa"
"Torra Torra -ct   02/02";"roupa"
"Vent Vert Cn      02/06";"Vent Vert"
"Torra Torra -ct";"roupa"
"Vent Vert Cn";"Vent Vert"
"Roberto Vidal Card02/03";"pessoa"
"Rotiserie La Rome 02/02";"alimentacao"
"J A Rodrigues Bici02/02";"comercio"
"Atacadao 060-ct";"mercado"
"Carrefour Fvm";"mercado"
"Vila Guilherme";"comercio"
"Med Supermercado Ltda";"mercado"
"Drogaria Sao-ct Lo 194";"farmacia"
"Tokio Marine*auto11d12";"seguro"
"Rbm Supermer-ct  Ltda";"mercado"
"Mini Extra 5041 Pca N";"mercado"
"Oggi Sorvete-ct Unidad";"sorvetes"
"Raia 47           01/03";"farmacia"
"Auto Posto Casuarinas";"gasolina"
"Mini Extra 5-ct Pca N";"mercado"
