"de_para";"valor"
"PIX QRS AMERICANAS 15/07";"americanas"
"ELECTRONRAIA 47";"farmacia"
"ELECTRONHOTEL ITAVE";"viagem_hotel"
"ELECTRONRODO STOP";"comercio"
"ELECTRONCOMITIVA GR";"viagem"
"PIX QRS ORION INSTI18/07";"roupa"
"ELECTRONCRISVAL AGE";"viagem"
"ELECTRONIVANE VANZE";"comercio"
"ELECTRONBOCA DA ONC";"viagem"
"ELECTRONZAGAIA ECO-";"viagem_hotel"
"ELECTRONS S P";"comercio"
"FINANC IMOBILIARIO   016";"financiamento"
"PIX QRS B2W COMPANH22/07";"americanas"
"ELECTRONSANTANA DRI";"comercio"
"PIX TRANSF  JULIANE22/07";"pessoa"
"PIX TRANSF  Matheus22/07";"alimentacao"
"PIX TRANSF  ANDRE N23/07";"investimento"
"PIX QRS PORTOSEG SA23/07";"porto_seguro"
"PIX QRS PAGSMILE24/07";"investimento"
"PIX QRS B2W COMPANH25/07";"americanas"
"ELECTRONCOMERCIAL N";"comercio"
"ELECTRONNIELLY NATH";"pessoa"
"ELECTRONPAG*Alexand";"pessoa"
"PIX TRANSF  Matheus29/07";"alimentacao"
"ELECTRONFRUTAS SERG";"feira-frutas"
"ELECTRONPAG*Antonie";"pessoa"
"TAR PACOTE ITAU   DEZ/22";"banco"
"INT  PAG TIT BANCO 001";"boleto"
"ELECTRONBANANAS ANA";"feira-banana"
"ELECTRONPAG*Antonia";"pessoa"
"ELECTRONCANAA LANCH";"alimentacao"
"SAQUE 24H 741367725";"saque"
"INT PAG TIT 109006482085";"boleto"
"PIX TRANSF  REAL BR13/01";"pix"
"PIX QRS ARENA FUTEB13/01";"pix"
"PIX TRANSF  IMW 3 R16/01";"igreja"
"ELECTRONPG *TON BAR";"comercio"
"ELECTRONMARCELO NAO";"pessoa"
"PIX TRANSF  IMW 3 R15/01";"igreja"
"ELECTRONJOSE ADRIAN";"pessoa"
"FINANC IMOBILIARIO   010";"financiamento"
"ELECTRONMERCADOPAGO";"mercado"
"ELECTRONBANANAS ANA";"feira-banana"
"SAQUE 24H 16975633";"saque"
"PIX QRS Mc Donalds 23/01";"alimentacao"
"PIX TRANSF  NIRLEY 26/01";"pessoa"
"MOBILEPAG TIT BANCO 001";"boleto"
"ELECTRONPAG*JMFRUTA";"feira"
"CXE 000372 SAQUE 28/01";"saque"
"PIX TRANSF  IMW 3 R01/02";"igreja"
"PIX TRANSF  LUCIANO02/02";"alimentacao"
"TAR PACOTE ITAU   JAN/23";"banco"
"ELECTRONPAG*Mundome";"consumo"
"CXE 000232 SAQUE 04/02";"saque"
"PIX TRANSF  LUCIANO04/02";"futebol"
"PIX QRS CASA LOTERI06/02";"transporte"
"PIX TRANSF  POUPETR06/02";"pix"
"PIX TRANSF  REAL BR07/02";"escola_futebol"
"ELECTRONFDI FERNAO";"comercio"
"INT PAG TIT 109006507485";"boleto"
"PIX TRANSF  IMW 3 R12/02";"igreja"
"INT PAG TIT 109006507493";"boleto"
"PIX TRANSF  IMW 3 R16/02";"igreja"
"ELECTRONFRUTAS SUPR";"feira"
"ELECTRONPAG*NiwsonY";"pessoa"
"PIX TRANSF  IGREJA 22/02";"igreja"
"ELECTRONPAG*AndreBr";"feira"
"PIX TRANSF  IMW 3 R21/02";"igreja"
"FINANC IMOBILIARIO   011";"financiamento"
"CXE 000091 SAQUE 25/02";"saque"
"PIX TRANSF  NIRLEY 25/02";"pessoa"
"ELECTRONSALAO AMIGO";"cabeleireiro"
"PIX TRANSF  ROGERIO01/03";"pix"
"TAR PACOTE ITAU   FEV/23";"banco"
"CXE     000695 SAQUE";"saque"
"PIX TRANSF  LUCIANO03/03";"alimentacao"
"ELECTRONNEW CENTER";"comercio"
"PIX TRANSF  ROGERIO03/03";"pipoca"
"CXE 000208 SAQUE 04/03";"saque"
"PIX TRANSF  FELIPE 06/03";"pix"
"PIX TRANSF  ROGERIO07/03";"pipoca"
"PIX TRANSF  IMW 3 R07/03";"igreja"
"PIX QRS ARENA FUTEB08/03";"futebol"
"PIX TRANSF  LUCIANO10/03";"alimentacao"
"PIX TRANSF  LUCIANO10/10";"futebol"
"PIX TRANSF  REAL BR10/03";"escola_futebol"
"CXE 000323 SAQUE 11/03";"saque"
"PIX TRANSF  IMW 3 R12/03";"igreja"
"PIX TRANSF  FELIPE 14/03";"pix"
"PIX TRANSF  LUCIANO16/03";"alimentacao"
"PIX TRANSF  IMW 3 R16/03";"igreja"
"PIX TRANSF  JULIANE18/03";"pessoa"
"PIX TRANSF  ROGERIO22/03";"pipoca"
"FINANC IMOBILIARIO   012";"financiamento"
"PIX TRANSF  erlonds24/03";"cabeleireiro"
"PIX TRANSF  LUCIANO24/03";"alimentacao"
"INT PAG TIT 109501011564";"boleto"
"CXE 000034 SAQUE 25/03";"saque"
"PIX TRANSF  IMW 3 R26/03";"igreja"
"PIX TRANSF  ROGERIO30/03";"pipoca"
"PIX TRANSF  IMW 3 R30/03";"igreja"
"PIX TRANSF  IMW 3 R02/04";"igreja"
"PIX QRS ARENA FUTEB02/04";"futebol"
"TAR PACOTE ITAU   MAR/23";"banco"
"PIX TRANSF  ROGERIO04/04";"pipoca"
"PIX TRANSF  CARLOS 04/04";"pessoa"
"Fgr Comercio-ct   01/03";"Fgr"
"Google Cloud 98nxrw";"plataforma-gcp"
"M Jarouche Comercio(03/03)";"M"
"Artemis Comercio De(03/03)";"Artemis"
"Mp *klmcentr-ct O  (03/04)";"Mp"
"Aluguel            (03/06)";"Aluguel"
"Fgr Comercio-ct    (02/03)";"Fgr"
"Pag*geraldot-ct Atova";"Pag"
"ELECTRONBAZAR PAPEL";"papelaria"
"PIX TRANSF  TARCISI02/09";"TARCISI"
"ELECTRONPG *TON JOS";"PG"
"ELECTRONVALDEMAR HE";"VALDEMAR"
"PIX TRANSF  IMW 3 R03/09";"igreja"
"Fgr Comercio-ct    (03/03)";"Fgr"
"PIX QRS PORTOSEG SA23/08";" PORTOSEG SA"
"PIX TRANSF  ANDRE N24/08";"investimento"
"PIX TRANSF  IMW 3 R24/08";"igreja"
"PIX QRS PAGSMILE25/08";"investimento"
"ELECTRONHOKIM SUPER";"HOKIM"
"ELECTRONCONDOMINIO";"CONDOMINIO"
"ELECTRONFGN COML LT";"FGN"
"ELECTRONSWEET";"SWEET"
"PIX QRS SHPP BRASIL31/08";"SHPP BRASIL"
"PIX TRANSF  IMW 3 R31/08";"igreja"
"PIX TRANSF  NIRLEY 31/08";"NIRLEY"
"compras";"compras"
"ELECTRONBOM BAIANO";"alimentacao"
"ELECTRONPAG*AutoPos";"AutoPos"
"ELECTRONPAG*Lidiane";"Lidiane"
"ELECTRONVALDOMIRO M";"passeio_parque_eco"
"ELECTRONJOFIX 3";"material_construcao_banheiro"
"ELECTRONPAG*MjlCome";"sodie"
"ELECTRONPAG*Crispin";"feira"
"ELECTRONPLAYCENTER";"lazer"
"ELECTRONPAG*Olimpio";"feira"
"ELECTRONPAG*PATRICI";"loja"
"ELECTRONSO MARCAS E";"loja"
"ELECTRONB LA MILETT";"alimentacao"
"ELECTRON3723 - GRSA";"alimentacao"
"ELECTRONGARAGE INN";"estacionamento"
"ELECTRONPRECIOSA G";"padaria"
"ELECTRONPAG*Mariana";"feira"
"PIX TRANSF  HILEIA 13/10";"alimentacao"
"PIX TRANSF  JULIANE04/10";"alimentacao"
"ELECTRONAMORIM COME";"alimentacao"
"ADIANT.DEPOSITANTE 25/10";"pessoa"
"ELECTRONPILOTINHOS";"loja"
"ELECTRONPAG*Barueri";"alimentacao"
"PIX TRANSF  Cristia14/10";"feira"
"PIX TRANSF  DORALIC27/10";"dora"
"PIX TRANSF  DORALIC19/10";"dora"
"ELECTRONOMF COBRANC";"cobranca"
"JUROS EXCESSO LIM CONTA";"juros"
"ELECTRON1A99";"loja"
"ELECTRONPAG*Josisma";"pessoa"
"ELECTRONPAG*Jaciara";"pessoa"
"compras";"loja"
"ELECTRONJV CONVENIE";"loja"
"ELECTRONAUTTAR LOJA";"loja"
"ELECTRONCAPPTA *ULT";"loja"
"PIX TRANSF  DORALIC21/09";"dora"
"ELECTRONPOSTO SERVC";"gasolina"
"PIX TRANSF  ALINE B20/09";"pessoa"
"PIX TRANSF  HILEIA 14/10";"pessoa"
"PIX QRS CLARO06/11";"claro"
"PIX TRANSF  ERALDO 15/09";"pessoa"
"PIX QRS PODEROSO TI19/09";"presente"
"PIX QRS SECRETARIA 11/09";"imposto"
"ELECTRONEDIMILSON V";"pessoa"
"ELECTRONIMW VILA ME";"igreja"
"ELECTRONPAG*EdvaneN";"feira"
"ELECTRONPAG*SALAOAM";"cabeleireiro"
"ELECTRONPAG*WmVerdu";"feira-verdura"
"MOBILEPAG TIT 7492331840";"banco"
"ELECTRONCLARO INT G";"claro"
"ELECTRONPAG*Reginal";"feira"
"ELECTRONCALDOS MANA";"alimentacao"
"ELECTRONMP*FLORDOMA";"feira"
"PIX QRS CEA PAY20/11";"roupa"
"ELECTRONGRUPO FARTU";"loja"
"ELECTRONLOJAS AMERI";"americanas"
"ELECTRONPUNTO ALPHA";"loja"
"PIX TRANSF  DORALIC23/11";"dora"
"ELECTRONCLUBE REAL";"alimentacao"
"ELECTRONPAG*JoseAbr";"pessoa"
"ELECTRONPAG*JoseEst";"pessoa"
"ELECTRONVANDEILDO B";"pessoa"
"PIX TRANSF  ALESSAN30/11";"advogado"
"PIX TRANSF  Erinald30/11";"pessoa"
"ELECTRONMARY PAPER";"loja"
"ELECTRONPAG*JoseSev";"pessoa"
"ELECTRONPAG*ArianaD";"pessoa"
"ELECTRONPALMAS DO T";"padaria"
"ELECTRONRAMOV TRIMA";"alimentacao"
"ELECTRONAUTO ELETRI";"carro"
"ELECTRONGRJ NEGOCIO";"alimentacao"
"ELECTRONPAG*Shoppin";"loja"
"PIX TRANSF  Bruna G07/12";"panetone"
"PIX TRANSF  MARIA A07/12";"presente-luis"
"ELECTRONBURGER KING";"alimentacao"
"PIX TRANSF  Jessika08/12";"alimentacao"
"ELECTRONPAG*SEBASTI";"feira"
"ELECTRONPAG*Cassioa";"feira-tapioca"
"ELECTRONPERFUMARIA";"loja"
"PIX TRANSF  MARGARI16/12";"pix"
"ELECTRONBAUDUCCO";"panetone"
"ELECTRONPAG*Luciana";"comercio"
"ELECTRONPOSTO NOVA";"comercio"
"ELECTRONPAG*Simoneg";"feira"
"ELECTRONPAG*RogerVi";"feira"
"PIX TRANSF  Erinald11/12";"feira"
"ELECTRONRITA DE SOU";"comercio"
"ELECTRONALOHA ESTAC";"estacionamento"
"ELECTRONMERLO'S PIZ";"alimentacao"
"PIX TRANSF  Jessika15/12";"alimentacao"
"ELECTRONFERNANVI LA";"comercio"
"PIX QRS PARCELA EXP20/12";"pix"
"ELECTRONMP*ORIEL";"feira-frutas"
"ELECTRONRAVIOLITALI";"alimentacao"
"ELECTRONKERO LANCHE";"alimentacao"
"ELECTRONNATURA PAY*";"michelle"
"ELECTRONISABELLA BI";"comercio"
"ELECTRONAXE TATUAPE";"comercio"
"ELECTRONGUARU SPORT";"comercio"
"PIX QRS CEA PAY11/12";"roupa"
"PIX QRS CLARO15/12";"claro"
"PIX TRANSF  SECRETA11/12";"pix"
"ELECTRONARMARINHOS";"comercio"
"ELECTRONCASAS PERNA";"pernambucanas"
"ELECTRONPAG*Barraca";"feira"
"ELECTRONPAG*ZEDOMIL";"feira"
"ELECTRONTOTAL ECONO";"gasolina"
"ELECTRONJ R CAFE";"padaria"
"PIX TRANSF  Bianca 04/01";"feira"
"ELECTRONPAG*HudsonS";"feira"
"INT MULTA REN31997756838";"multa"
"ELECTRONFGR COMERCI";"mecanico-frg"
"ELECTRONBB TRANSPOR";"transporte_pub"
"ELECTRONRHF";"alimentacao"
"PIX TRANSF  FAGNO B10/01";"pedreiro"
"PIX TRANSF  ZIMER E10/01";"futebol"
"ELECTRONCAFE NA MED";"alimentacao"
"ELECTRONJK MINI MER";"mercado"
"PIX QRS ELECTROLUX11/01";"refil"
"PIX TRANSF  KAREN O11/01";"alimentacao"
"ELECTRONPAG*Moliky";"alimentacao"
"ELECTRONPAG*NinaBol";"alimentacao"
"PIX TRANSF  FABIANE12/01";"alimentacao"
"ELECTRONAUTO POSTO";"gasolina"
"ELECTRONDISTRIBUIDO";"alimentacao"
"ELECTRONLOJAS RENNE";"roupa"
"ELECTRONPAG*Alexsan";"alimentacao"
"ELECTRONPAG*JoaoApa";"alimentacao"
"ELECTRONPG *TON BAH";"alimentacao"
"ELECTRONSABOR TEM A";"alimentacao"
"DA  CLARO MOVEL 66459258";"claro"
"PIX TRANSF  ELIZABE16/01";"emprestimo"
"INT IPVA-SPHOH6396PARC01";"ipva"
"ELECTRONPAG*BrassSa";"alimentacao"
"ELECTRONSELMA DE SO";"alimentacao"
"PIX TRANSF  DORALIC18/01";"dora"
"ELECTRONKALUNGA IGU";"kalung"
"ELECTRONMANIA DE CH";"alimentacao"
"ELECTRONPAG*SucaoSu";"alimentacao"
"ELECTRONPCA N MUNDO";"mercado"
"PIX TRANSF  JURANDI20/01";"casamento"
"ELECTRONPAG*Juliane";"alimentacao"
"ELECTRONFAST SHOES";"roupa"
"ELECTRONIGREJA METO";"igreja"
"PIX TRANSF  LUCIANO10/01";"futebol"
"PIX TRANSF  EMBRYO 30/01";"transporte_pub"
"ELECTRONSACOLAO PIM";"mercado"
"PIX TRANSF  LUCIANO03/02";"futebol"
"PIX TRANSF  Antonio03/02";"feira-banana"
"PIX TRANSF  NATALIA05/02";"alimentacao-gelinho"
"ELECTRONACAI FORMOS";"alimentacao-acai"
"PIX QRS POSTO DE SE12/02";"gasolina"
"ELECTRONPAG*Rufusin";"alimentacao-trailler"
"PIX QRS iFood11/02";"ifood"
"PIX TRANSF  Leonard13/02";"futebol"
"ELECTRONBAR E LANCH";"alimentacao"
"ELECTRONPAG*JoseElm";"flores"
"ELECTRONPAG*Mavani";"mecanico-uehara"
"ELECTRONANDORINHA H";"mercado"
"ELECTRONGRANO ITALI";"alimentacao"
"PIX TRANSF  MICHELE16/02";"igreja-evangelismo"
"PIX QRS Fernanda da17/02";"alimentacao-parque"
"ELECTRONPAG*Gueldoc";"alimentacao-metro"
"ELECTRONLINDT  SPRU";"alimentacao-chocolate"
"ELECTRONMERCADO ARA";"mercado"
"ELECTRONMR CHENEY C";"alimentacao-ckoockies"
"PIX QRS JOSE SEVERI25/02";"alimentacao-gelinho"
"PIX TRANSF  Ricardo23/02";"comercio-metro"
"PIX TRANSF  Rogerio23/02";"comercio-metro"
"ELECTRONPAG*GlendaD";"feira"
"PIX QRS Gustavo Hen23/02";"comercio"
"ELECTRONMP*MIXACESS";"comercio"
"ELECTRONNUTRINOVA K";"comercio"
"PIX QRS Tuna Pagame01/03";"alimentacao-burguer"
"PIX QRS LRS - PIZZA03/03";"alimentacao-pizzanomonte"
"PIX QRS CANTINA ERI03/03";"alimentacao-cafenomonte"
"ELECTRONCENTRO AUTO";"gasolina"
"PIX TRANSF  ELIZABE03/03";"emprestimo"
"PIX TRANSF  Joadson05/03";"futebol"
"ELECTRONTK SABRINA";"lojaesportes"
"ELECTRONABALA CN";"alimentacao-doces"
"ELECTRONATELIER JUN";"casamento"
"ELECTRONCHIQUINHO S";"alimentacao-sorvete"
"ELECTRONMALURA ALIM";"alimentacao-shopmaniachurrasco"
"ELECTRONACEROLA E A";"gasolina"
"ELECTRONAUTOPISTA F";"pedagio"
"ELECTRONAUTOPISTA F";"pedagio"
"ELECTRONFUMIKO KOSE";"alimentacao-almocodomingoberingela"
"PIX TRANSF  THAYNA 10/03";"casamento"
"ELECTRONBAR DO ALEM";"alimentacao-almoco"
"ELECTRONSHOPPING IG";"alimentacao-agua"
"ELECTRONUNIDAS LOCA";"locadora"
"PIX TRANSF  DORALIC13/03";"dora"
"PIX TRANSF  Erinald13/03";"alimentacao-praia"
"ELECTRONPOSTO 4 IRM";"gasolina"
"PIX QRS ADELY SILVA14/03";"alimentacao-praia"
"PIX QRS 52386368 SE14/03";"alimentacao-praia"
"PIX TRANSF  JESSICA14/03";"alimentacao-praia"
"ELECTRONASSAI ATACA";"mercado"
"ELECTRONFORTE FARMA";"farmacia"
"ELECTRONMP*MARIA";"alimentacao-praia"
"ELECTRONALUGUEL LOC";"locadora"
"ELECTRONCAROL SORVE";"alimentacao-praia"
"ELECTRONGRAAL TRES";"gasolina"
"ELECTRONKNL SORVETE";"alimentacao-praia"
"ELECTRONMP*FOTOGRAF";"passeio"
"ELECTRONNEW MANIA C";"alimentacao-conveniencia"
"ELECTRONPAG*CarlaFe";"alimentacao-praia"
"ELECTRONPAG*ErikaCr";"alimentacao-praia"
"ELECTRONPAG*Gelsonb";"alimentacao-praia"
"ELECTRONPAG*Karolyn";"alimentacao-praia"
"ELECTRONPORTAL DAS";"gasolina"
"ELECTRONRODOSNACK I";"alimentacao-graal"
"ELECTRONSUPERMERC P";"mercado"
"PIX QRS PATRICIA SI17/03";"alimentacao-praiaaçai"
"PIX QRS PATRICIA SI17/03";"alimentacao-praiaaçai"
"PIX TRANSF  ELIZABE18/03";"emprestimo"
"PIX TRANSF  KAUA CU16/03";"estacionamento-praia"
"PIX TRANSF  NAYANA 17/03";"alimentacao-praia"
"PIX TRANSF  Rogerio16/03";"alimentacao-praia"
"PIX TRANSF  RICARDO17/03";"brinquedo-praia"
"PIX TRANSF  SEVERIN17/03";"alimentacao-praia"
"PIX TRANSF  ELIZABE03/03";"emprestimo"
"ELECTRONBacio di La";"alimentacao-sorvete"
"ELECTRONPAG*Pkf";"feira-ovos"
"ELECTRONPG *TON CAS";"feira-tapioca"
"ELECTRONVERA CLEMEN";"feira"
"PIX TRANSF  ANDRE N23/03";"uber"
"PIX QRS MOBIAUTO ED26/03";"app-mobiauto"
"ELECTRONDROGARIA PR";"farmacia"
"ELECTRONGAGUINHO";"mercado"
"ELECTRONCARTORIO DE";"cartorio"
"ELECTRONPORTEIRA DO";"alimentacao-agua"
"PIX QRS ANDRE NASCI02/04";"inter"
"PIX TRANSF  ANDRE N02/04";"picpay"
"ELECTRONEMPORIO DO";"alimentacao"
"ELECTRONPAG*ThiemiC";"feira"
"ELECTRONPAG*Robsonr";"feira"
"ELECTRONWALQUIRIA C";"cosmeticos"
"ELECTRONCINEMARK TA";"cinema"
"PIX TRANSF  EMBRYO 08/04";"transporte_pub"
"TBI 9293.22915-0";"poupanca"
"PIX QRS Tuna Pagame05/04";"alimentacao-burguer"
"PIX TRANSF  HENRIQU09/04";"shopmetro"
"ELECTRONPAG*LaysRos";"mercado"
"ELECTRONQUITANDA E";"mercado"
"ELECTRONASL BANCA";"alimentacao"
"ELECTRONKIBUTS";"alimentacao-almoco"
"ELECTRONNM PIZZARIA";"alimentacao"
"ELECTRONPAG*MariaDo";"alimentacao"
"ELECTRONMERLO S";"alimentacao-almoco"
"ELECTRONDAISO BRASI";"alimentacao-almoco"
"PIX TRANSF  ELIZABE18/04";"emprestimo"
"ELECTRONPAULO DE FR";"consertotv"
"ELECTRONPAG*Luciano";"alimentacao-restaurante"
"ELECTRONPLAYLAND -";"lazer"
"PIX TRANSF  ANDRE N03/05";"recargapay"
"ELECTRONFLAMENGO";"alimentacao"
"ELECTRONFLAMENGO";"alimentacao"
"ELECTRONPAG*RaizesM";"alimentacao"
"ELECTRONPAG*ReiDoQu";"alimentacao"
"ELECTRONBR2 BARUERI";"alimentacao"
"ELECTRONCARISTOFARM";"farmacia"
"ELECTRONEMPORIO IDE";"alimentacao"
"ELECTRONMP*LUISRONN";"alimentacao"
"PIX TRANSF  DORALIC25/04";"dora"
"PIX TRANSF  EMBRYO 25/04";"transporte_pub"
"PIX TRANSF  LUIZ AN25/04";"alimentacao"
"Iugu*catho        03/03";"catho"
"Unidas Locadora Sa02/09";"locadora-unidas"
"Unidas Locadora Sa";"locadora-unidas"
"Unidas Locadora Qt02/03";"locadora-unidas"
"Unidas Locadora Qti1";"locadora-unidas"
"Turbi";"locadora-turbi"
"Turbi";"locadora-turbi"
"Seg Cartao Protegido";"banco"
"Dlocal*google Cloud 7cx";"plataforma-gcp"
"Aws Brazil";"plataforma-aws"
"Scribd *589796495";"app-livro"
"Scribd *589796495";"app-livro"
"Dlocal*google Cloud 9tg";"plataforma-gcp"
"Seg Cartao Protegido";"banco"
"Scribd *589796495";"app-livro"
"Scribd *589796495";"app-livro"
"Seg Cartao Protegido";"banco"
"Unidas Locadora Sa (03/09)";"locadora-unidas"
"Unidas Locadora Qti(03/03)";"locadora-unidas"
"Credito Prog De Pontos";"credito"
"Scribd *589796495";"app-livro"
"Seg Cartao Protegido";"banco"
"Unidas Locadora Qti1";"locadora-unidas"
"Iugu*catho        02/03";"catho"
"Iugu*catho        01/03";"catho"
"The Walt Disney Company";"app-disney"
"Unidas Locadora Qt01/03";"locadora-unidas"
"Unidas Locadora Sa01/09";"locadora-unidas"
"ELECTRONMERCADO GAG";"mercado"
"PIX TRANSF  IGREJA 10/05";"igreja"
"ELECTRONPAG*DivineP";"alimentacao-sodie"
"ELECTRONPEG MAIS";"alimentacao"
"PIX TRANSF  EMBRYO 13/05";"transporte_pub"
"ELECTRONCREMA COFFE";"alimentacao"
"ELECTRONPAG*DivineP";"alimentacao-sodie"
"ELECTRONPAG*IreneHe";"alimentacao"
"PIX TRANSF  LUIZ AN14/05";"alimentacao-almoco"
"ELECTRONPAG*AmandaP";"comercio"
"ELECTRONPAG*JoseCar";"comercio"
"PIX TRANSF  ELIZABE21/05";"emprestimo"
"PIX TRANSF  Severin21/05";"comercio-metrocordaocartao"
"ELECTRONMAGIA";"mercado-embalagens"
"PIX TRANSF  EMBRYO 23/05";"transporte_pub"
"PIX TRANSF  DEBORA 26/05";"feira-tempero"
"PIX TRANSF  ANDRE N31/05";"transporte_pub"
"PIX TRANSF  Wesley 31/05";"comercio-metro"
"ELECTRONMARILCE POS";"alimentacao-churrascarianamorados"
"ELECTRONTEFER";"alimentacao"
"ELECTRONCARREFOUR X";"mercado"
"ELECTRONRAMOV TUCUR";"alimentacao-shopmetro"
"PIX TRANSF  DORALIC13/06";"dora"
"PIX TRANSF  Jesus E13/06";"shopmetro-livro"
"ELECTRONRAMOV TUCUR";"alimentacao-shopmetro"
"ELECTRONRYMA MINI M";"alimentacao-bancadejornal"
"PIX TRANSF  MARCELO14/06";"ajuda-pastorparedes"
"PIX TRANSF  Rafael 14/06";"ajuda"
"Unidas Locadora Sa03/09";"locadora-unidas"
"Unidas Locadora Sa04/09";"locadora-unidas"
"Unidas Locadora Qt03/03";"locadora-unidas"
"Catho 01/03";"catho"
"Catho 02/03";"catho"
"Catho";"catho"
"Unidas Locadora Sa04/09";"locadora-unidas"
"Google Cloud 7hxwtw";"plataforma-gcp"
"ELECTRONSHOPPING TU";"alimentacao-barracametro"
"PIX TRANSF  ANDRE N16/06";"picpay"
"ELECTRONBOMBONIERE";"alimentacao"
"ELECTRONPAG*Celiope";"alimentacao-milhopqnovomundo"
"ELECTRONDA PRACA ZO";"mercado"
"ELECTRONDROGARIA E";"farmacia"
"ELECTRONMP*GILMAR15";"alimentacao-futebol"
"ELECTRONPAG*Maza";"alimentacao-futebol"
"ELECTRONPAG*RenatoT";"alimentacao-futebol"
"PIX TRANSF  ANDRE N23/06";"uber"
"PIX TRANSF  Thyago 23/06";"uber"
"ELECTRONF P F  DIST";"mercado"
"PIX QRS WENYU JIN26/06";"presente-michelle"
"PIX TRANSF  Carlos 26/06";"alimentacao"
"ELECTRONPG *TON CHU";"escola_futebol"
"PIX TRANSF  Bruna S01/07";"uber"
"PIX QRS RENATA BARB06/07";"presente-renata"
"ELECTRONMINI MERCAD";"mercado"
"ELECTRONARFCO";"mercado"
"ELECTRONMP*LOJASABR";"celular"
"ELECTRONJOSY BIJOUX";"presente"
"ELECTRONLOJAO DA VI";"presente"
"PIX QRS CINEMARK BR14/07";"lazer"
"ELECTRONCEA SCN 160";"roupa"
"ELECTRONCARREFOUR E";"mercado"
"ELECTRONGOURMET EXP";"alimentacao-almocotrampo"
"PIX TRANSF  BRAUNZ 20/07";"alimentacao-retaurante"
"PIX QRS CALCADOS AL20/07";"roupa"
"PIX TRANSF  Silvio 20/07";"feira-morangovilsabrina"
"ELECTRONSORVETERIA";"alimentacao-sorvete"
"ELECTRONARENA SANTA";"alimentacao-futebolsamuel"
"PIX TRANSF  SILAS M23/07";"alimentacao-chocolatemetro"
"PIX TRANSF  SIMONE 26/07";"alimentacao-gelinho"
"PIX QRS Mc Donalds 02/08";"alimentacao-mcdonadls"
"ELECTRONCIRLENE APA";"alimentacao-boloestacao"
"ELECTRONKratus";"transporte_pub"
"ELECTRONReginaldoca";"alimentacao-milhoestacao"
"PIX QRS ANDRE NASCI06/08";"inter"
"ELECTRONLUZ BOLOS C";"alimentacao-bolos"
"ELECTRONRAGAZZO";"alimentacao-metro"
"ELECTRONCarlosDiyod";"feira-tempero"
"ELECTRONRobinson";"feira-frango"
"ELECTRONJoseAdriano";"feira"
"ELECTRONNICE VERDUR";"feira-verdura"
"ELECTRONPkf";"feira-ovos"
"ELECTRONCAMPEAO FAR";"feira-tapioca"
"PIX TRANSF EMBRYO 06/08";"transporte_pub"
"PIX TRANSF  ANDRE N06/08";"nomad"
"ELECTRONREGINALDOCA";"feira"
"ELECTRONKRATUS";"feira"
"MOBILE PAG TIT BANCO 237";"boleto"
"PIX TRANSF  DENILZA10/08";"presente-escolaindia"
"ELECTRONJOSEADRIANO";"feira"
"ELECTRONROBINSON";"feira-frango"
"ELECTRONCARLOSDIYOD";"feira-tempero"
"ELECTRONPKF";"feira"
"MOBILE PAG TIT BANCO 461";"escola_futebol"
"PIX QRS LOJA ELECTR15/08";"eletrolux"
"PIX TRANSF  ELIZABE15/08";"emprestimo"
"PIX TRANSF  DORALIC15/08";"dora"
"ELECTRONPG *TON BER";"celular-bateria"
"ELECTRONSTADIUM FOO";"alimentacao-tapioca"
"ELECTRONBUENOS BAR";"alimentacao-almoco"
"ELECTRONEMPADA BRAS";"alimentacao-cafe"
"PIX TRANSF  DENISE 16/08";"alimentacao-gceudenise"
"ELECTRONRosileneDaS";"feira-alho"
"PIX TRANSF ANDRE N06/08";"nomad"
"PIX TRANSF  DENILZA10/08";"presente-escolaindia"
"MOBILEPAG TIT BANCO 461";"escola_futebol"
"ELECTRONGueldoces";"padaria"
"ELECTRONMARIA CELIA";"alimentacao-cafe"
"PIX TRANSF  FABIO L23/08";"alimentacao-bolo"
"PIX TRANSF  Jeferso23/08";"alimentacao-milho"
"ELECTRONOrielPereir";"feira-frutas"
"PIX TRANSF  LUCIANO02/09";"pessoal"
"PIX TRANSF  Rafael 06/09";"rafael"
"PIX TRANSF  DORALIC10/09";"dora"
"PIX TRANSF  Luan Pa10/09";"presente-metro"
"ELECTRONBicoMateria";"material_construcao_banheiro"
"ELECTRONHOPI HARI";"lazer-hopihari"
"ELECTRONDivinePadar";"alimentacao-sodie"
"ELECTRONGIGA ATACAD";"mercado"
"ELECTRONPadariaChar";"padaria"
"ELECTRONICE 4U GELA";"alimentacao-shopping"
"ELECTRONSHOPPING ME";"alimentacao-shopping"
"ELECTRONMundomedDro";"farmacia"
"ELECTRONSHOPPING BA";"alimentacao-shopping"
"PIX TRANSF  Donavil17/09";"alimentacao-caldo"
"ELECTRONEdufrutas";"feira-ferutas"
"ELECTRONKUNIKO KOHA";"feira-pastel"
"PIX TRANSF  Dilza S14/09";"feira"
"PIX TRANSF  Erlon J18/09";"cabeleireiro"
"ELECTRONTROPICAL DO";"feira"
"PIX TRANSF  LUCIANO20/09";"escola_futebol"
"Netflix Entretenimento";"app-netflix"
"Dl *google Cloud 3";"plataforma-gcp"
"ELECTRONAlexandreDo";"comercio"
"ELECTRONMP*MERCADOR";"comercio"
"ELECTRONMP*SOLTEIRI";"comercio"
